样本ID | P | R | F1
legal_question_answering_8337 | 0.6466 | 0.6980 | 0.6713
legal_question_answering_14736 | 0.7106 | 0.7391 | 0.7246
legal_question_answering_39630 | 0.7729 | 0.7657 | 0.7693
legal_question_answering_55142 | 0.5928 | 0.3057 | 0.4034
legal_question_answering_14351 | 0.8337 | 0.6765 | 0.7469
legal_question_answering_39559 | 0.7798 | 0.7212 | 0.7493
legal_question_answering_58971 | 0.5623 | 0.6279 | 0.5933
legal_question_answering_7125 | 0.8889 | 0.7166 | 0.7935
legal_question_answering_21302 | 0.6454 | 0.7010 | 0.6721
legal_question_answering_36047 | 0.7035 | 0.7424 | 0.7224
legal_question_answering_40157 | 0.7153 | 0.7538 | 0.7341
legal_question_answering_47744 | 0.7900 | 0.7871 | 0.7885
legal_question_answering_40355 | 0.7468 | 0.7530 | 0.7499
legal_question_answering_22924 | 0.7243 | 0.6936 | 0.7086
legal_question_answering_10241 | 0.7073 | 0.6166 | 0.6588
legal_question_answering_67583 | 0.4621 | 0.7355 | 0.5676
legal_question_answering_17046 | 0.7495 | 0.7226 | 0.7358
legal_question_answering_60640 | 0.6308 | 0.6930 | 0.6605
legal_question_answering_49560 | 0.5803 | 0.3396 | 0.4285
legal_question_answering_26063 | 0.7331 | 0.7776 | 0.7547
legal_question_answering_48590 | 0.6766 | 0.6203 | 0.6472
legal_question_answering_2130 | 0.7012 | 0.7398 | 0.7200
legal_question_answering_72721 | 0.3094 | 0.4314 | 0.3604
legal_question_answering_14568 | 0.6482 | 0.5176 | 0.5756
legal_question_answering_35384 | 0.6841 | 0.7539 | 0.7173
legal_question_answering_349 | 0.7149 | 0.6276 | 0.6685
legal_question_answering_36386 | 0.6673 | 0.6716 | 0.6694
legal_question_answering_15837 | 0.6687 | 0.6435 | 0.6559
legal_question_answering_28392 | 0.7101 | 0.7126 | 0.7114
legal_question_answering_29071 | 0.7623 | 0.7759 | 0.7690
legal_question_answering_77649 | 0.6852 | 0.6103 | 0.6456
legal_question_answering_18260 | 0.8025 | 0.7837 | 0.7930
legal_question_answering_36909 | 0.7792 | 0.7131 | 0.7447
legal_question_answering_65590 | 0.6583 | 0.5743 | 0.6134
legal_question_answering_68333 | 0.4003 | 0.7467 | 0.5212
legal_question_answering_7414 | 0.6944 | 0.7012 | 0.6978
legal_question_answering_72330 | 0.3460 | 0.5293 | 0.4185
legal_question_answering_73944 | 0.3251 | 0.7182 | 0.4476
legal_question_answering_24689 | 0.7556 | 0.7306 | 0.7429
legal_question_answering_76593 | 0.8032 | 0.7199 | 0.7593
legal_question_answering_16633 | 0.6640 | 0.6477 | 0.6558
legal_question_answering_12028 | 0.6715 | 0.6503 | 0.6607
legal_question_answering_30070 | 0.6484 | 0.7551 | 0.6977
legal_question_answering_72846 | 0.3685 | 0.7251 | 0.4886
legal_question_answering_12107 | 0.6698 | 0.6815 | 0.6756
legal_question_answering_13675 | 0.6722 | 0.7520 | 0.7099
legal_question_answering_12994 | 0.7771 | 0.6766 | 0.7234
legal_question_answering_38227 | 0.6991 | 0.8006 | 0.7465
legal_question_answering_19084 | 0.8638 | 0.7088 | 0.7786
legal_question_answering_2156 | 0.7906 | 0.7604 | 0.7752
legal_question_answering_706 | 0.6396 | 0.6626 | 0.6509
legal_question_answering_60278 | 0.6212 | 0.7327 | 0.6723
legal_question_answering_22441 | 0.7103 | 0.7640 | 0.7361
legal_question_answering_2578 | 0.5962 | 0.6153 | 0.6056
legal_question_answering_59750 | 0.6222 | 0.6939 | 0.6561
legal_question_answering_29206 | 0.7833 | 0.7577 | 0.7703
legal_question_answering_12715 | 0.8148 | 0.7010 | 0.7536
legal_question_answering_26218 | 0.8017 | 0.7822 | 0.7919
legal_question_answering_5268 | 0.6753 | 0.6706 | 0.6730
legal_question_answering_14158 | 0.6632 | 0.5753 | 0.6162
legal_question_answering_1266 | 0.6570 | 0.6619 | 0.6594
legal_question_answering_49772 | 0.5399 | 0.6649 | 0.5959
legal_question_answering_30444 | 0.7141 | 0.7025 | 0.7082
legal_question_answering_29529 | 0.7972 | 0.7706 | 0.7836
legal_question_answering_4682 | 0.7209 | 0.6873 | 0.7037
legal_question_answering_78741 | 0.7655 | 0.6864 | 0.7238
legal_question_answering_35806 | 0.7063 | 0.5362 | 0.6096
legal_question_answering_27676 | 0.7709 | 0.7857 | 0.7783
legal_question_answering_3968 | 0.5731 | 0.5732 | 0.5732
legal_question_answering_5074 | 0.6248 | 0.6430 | 0.6338
legal_question_answering_32470 | 0.7695 | 0.6528 | 0.7063
legal_question_answering_17605 | 0.5861 | 0.7023 | 0.6390
legal_question_answering_26051 | 0.7473 | 0.7507 | 0.7490
legal_question_answering_79462 | 0.6788 | 0.6734 | 0.6761
legal_question_answering_12083 | 0.7103 | 0.7175 | 0.7138
legal_question_answering_62213 | 0.5488 | 0.5923 | 0.5697
legal_question_answering_6268 | 0.7470 | 0.7557 | 0.7513
legal_question_answering_67293 | 0.3597 | 0.6950 | 0.4740
legal_question_answering_36018 | 0.7280 | 0.7486 | 0.7381
legal_question_answering_62184 | 0.6842 | 0.6181 | 0.6495
legal_question_answering_37266 | 0.7415 | 0.7242 | 0.7327
legal_question_answering_72346 | 0.3581 | 0.5938 | 0.4468
legal_question_answering_48947 | 0.7477 | 0.7678 | 0.7576
legal_question_answering_11808 | 0.8633 | 0.6522 | 0.7431
legal_question_answering_1939 | 0.7106 | 0.7050 | 0.7078
legal_question_answering_12267 | 0.7145 | 0.6655 | 0.6891
legal_question_answering_57449 | 0.5587 | 0.5914 | 0.5746
legal_question_answering_38306 | 0.6929 | 0.6901 | 0.6915
legal_question_answering_77974 | 0.4181 | 0.6009 | 0.4931
legal_question_answering_515 | 0.5772 | 0.6329 | 0.6038
legal_question_answering_59234 | 0.5658 | 0.6543 | 0.6068
legal_question_answering_27841 | 0.6417 | 0.7008 | 0.6699
legal_question_answering_79175 | 0.7377 | 0.7448 | 0.7412
legal_question_answering_72010 | 0.3164 | 0.5390 | 0.3987
legal_question_answering_24562 | 0.7855 | 0.8018 | 0.7935
legal_question_answering_71623 | 0.5731 | 0.6842 | 0.6237
legal_question_answering_15249 | 0.7018 | 0.7939 | 0.7450
legal_question_answering_36271 | 0.7998 | 0.8159 | 0.8077
legal_question_answering_37822 | 0.7643 | 0.6903 | 0.7254
legal_question_answering_78321 | 0.6679 | 0.5881 | 0.6255
legal_question_answering_36207 | 0.8015 | 0.7104 | 0.7532
legal_question_answering_64266 | 0.7359 | 0.7475 | 0.7416
legal_question_answering_64262 | 0.6273 | 0.6570 | 0.6418
legal_question_answering_7472 | 0.5607 | 0.6965 | 0.6213
legal_question_answering_24376 | 0.7973 | 0.7853 | 0.7912
legal_question_answering_35598 | 0.7526 | 0.7477 | 0.7501
legal_question_answering_40421 | 0.8024 | 0.7429 | 0.7715
legal_question_answering_10329 | 0.5417 | 0.6862 | 0.6054
legal_question_answering_19302 | 0.7181 | 0.7338 | 0.7259
legal_question_answering_74580 | 0.3681 | 0.7374 | 0.4911
legal_question_answering_3749 | 0.7247 | 0.7322 | 0.7284
legal_question_answering_77988 | 0.7754 | 0.9067 | 0.8359
legal_question_answering_27717 | 0.7528 | 0.6999 | 0.7254
legal_question_answering_6986 | 0.7102 | 0.6801 | 0.6948
legal_question_answering_53389 | 0.6843 | 0.7508 | 0.7160
legal_question_answering_7909 | 0.6791 | 0.6916 | 0.6853
legal_question_answering_58582 | 0.5817 | 0.5562 | 0.5687
legal_question_answering_27913 | 0.7415 | 0.7015 | 0.7209
legal_question_answering_67072 | 0.4441 | 0.8292 | 0.5784
legal_question_answering_42680 | 0.7035 | 0.7429 | 0.7226
legal_question_answering_58199 | 0.7009 | 0.7865 | 0.7412
legal_question_answering_30460 | 0.7796 | 0.7422 | 0.7604
legal_question_answering_4915 | 0.6984 | 0.7169 | 0.7075
legal_question_answering_49910 | 0.4829 | 0.2976 | 0.3683
legal_question_answering_57391 | 0.7632 | 0.6992 | 0.7298
legal_question_answering_6769 | 0.8690 | 0.6753 | 0.7600
legal_question_answering_73859 | 0.4481 | 0.6620 | 0.5344
legal_question_answering_9648 | 0.7465 | 0.5881 | 0.6579
legal_question_answering_63329 | 0.6414 | 0.7027 | 0.6706
legal_question_answering_76284 | 0.7624 | 0.6246 | 0.6867
legal_question_answering_11538 | 0.7128 | 0.7166 | 0.7147
legal_question_answering_53115 | 0.7421 | 0.8376 | 0.7869
legal_question_answering_55322 | 0.4674 | 0.2981 | 0.3640
legal_question_answering_78577 | 0.4693 | 0.8420 | 0.6027
legal_question_answering_13516 | 0.6825 | 0.6840 | 0.6832
legal_question_answering_47752 | 0.7309 | 0.8206 | 0.7732
legal_question_answering_79553 | 0.7614 | 0.7947 | 0.7777
legal_question_answering_8535 | 0.8200 | 0.6685 | 0.7366
legal_question_answering_49124 | 0.8767 | 0.7349 | 0.7996
legal_question_answering_26374 | 0.7137 | 0.7583 | 0.7353
legal_question_answering_13766 | 0.7013 | 0.6861 | 0.6936
legal_question_answering_31251 | 0.7393 | 0.6845 | 0.7108
legal_question_answering_57418 | 0.5759 | 0.6234 | 0.5987
legal_question_answering_63726 | 0.5940 | 0.6608 | 0.6256
legal_question_answering_53232 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_34535 | 0.8010 | 0.7288 | 0.7632
legal_question_answering_58831 | 0.7129 | 0.6998 | 0.7063
legal_question_answering_15809 | 0.6669 | 0.6761 | 0.6714
legal_question_answering_1810 | 0.7715 | 0.6541 | 0.7079
legal_question_answering_46167 | 0.7491 | 0.7432 | 0.7461
legal_question_answering_55561 | 0.4845 | 0.2807 | 0.3555
legal_question_answering_5044 | 0.6240 | 0.6129 | 0.6184
legal_question_answering_28595 | 0.7299 | 0.7789 | 0.7537
legal_question_answering_10406 | 0.6452 | 0.6096 | 0.6269
legal_question_answering_76182 | 0.6645 | 0.6332 | 0.6485
legal_question_answering_62655 | 0.5636 | 0.6063 | 0.5842
legal_question_answering_77010 | 0.3780 | 0.6256 | 0.4713
legal_question_answering_71490 | 0.4034 | 0.6213 | 0.4892
legal_question_answering_32755 | 0.7297 | 0.6923 | 0.7105
legal_question_answering_57436 | 0.6605 | 0.7324 | 0.6946
legal_question_answering_39018 | 0.7515 | 0.7787 | 0.7649
legal_question_answering_69102 | 0.3720 | 0.7776 | 0.5033
legal_question_answering_71072 | 0.3433 | 0.4919 | 0.4044
legal_question_answering_55453 | 0.4878 | 0.3135 | 0.3817
legal_question_answering_3786 | 0.6772 | 0.5557 | 0.6105
legal_question_answering_29506 | 0.4930 | 0.3726 | 0.4244
legal_question_answering_26967 | 0.7857 | 0.7176 | 0.7501
legal_question_answering_21080 | 0.7801 | 0.7308 | 0.7547
legal_question_answering_78757 | 0.4455 | 0.5823 | 0.5048
legal_question_answering_77407 | 0.7123 | 0.6317 | 0.6696
legal_question_answering_44683 | 0.7769 | 0.7710 | 0.7739
legal_question_answering_12573 | 0.5880 | 0.6226 | 0.6048
legal_question_answering_20596 | 0.7967 | 0.8617 | 0.8279
legal_question_answering_578 | 0.7119 | 0.7790 | 0.7439
legal_question_answering_50889 | 0.7547 | 0.7753 | 0.7649
legal_question_answering_55630 | 0.7550 | 0.7578 | 0.7564
legal_question_answering_28119 | 0.6664 | 0.7442 | 0.7031
legal_question_answering_29450 | 0.6930 | 0.7435 | 0.7174
legal_question_answering_39071 | 0.7777 | 0.7849 | 0.7813
legal_question_answering_78429 | 0.4856 | 0.6383 | 0.5516
legal_question_answering_77954 | 0.6922 | 0.7539 | 0.7217
legal_question_answering_48641 | 0.7920 | 0.8538 | 0.8217
legal_question_answering_27401 | 0.7172 | 0.7695 | 0.7424
legal_question_answering_37860 | 0.7046 | 0.6726 | 0.6883
legal_question_answering_13108 | 0.7456 | 0.6138 | 0.6733
legal_question_answering_31081 | 0.8258 | 0.7912 | 0.8081
legal_question_answering_9488 | 0.6165 | 0.7481 | 0.6760
legal_question_answering_50593 | 0.7734 | 0.8153 | 0.7938
legal_question_answering_77680 | 0.7909 | 0.5942 | 0.6786
legal_question_answering_34395 | 0.8186 | 0.8502 | 0.8341
legal_question_answering_70871 | 0.3858 | 0.7759 | 0.5153
legal_question_answering_72620 | 0.3358 | 0.6806 | 0.4497
legal_question_answering_51655 | 0.7196 | 0.7526 | 0.7358
legal_question_answering_22731 | 0.7767 | 0.7583 | 0.7674
legal_question_answering_394 | 0.6879 | 0.6354 | 0.6606
legal_question_answering_17020 | 0.7061 | 0.6479 | 0.6757
legal_question_answering_15421 | 0.6700 | 0.6427 | 0.6560
legal_question_answering_65389 | 0.6603 | 0.6566 | 0.6584
legal_question_answering_24282 | 0.7278 | 0.7021 | 0.7147
legal_question_answering_51129 | 0.7943 | 0.8065 | 0.8003
legal_question_answering_68797 | 0.3330 | 0.6621 | 0.4431
legal_question_answering_45476 | 0.7032 | 0.7166 | 0.7098
legal_question_answering_3770 | 0.7628 | 0.5806 | 0.6594
legal_question_answering_11558 | 0.6507 | 0.6649 | 0.6577
legal_question_answering_72863 | 0.3879 | 0.7750 | 0.5171
legal_question_answering_44526 | 0.7563 | 0.8367 | 0.7945
legal_question_answering_79226 | 1.0000 | 1.0000 | 1.0000
legal_question_answering_25780 | 0.6690 | 0.7489 | 0.7067
legal_question_answering_72526 | 0.3376 | 0.5561 | 0.4202
legal_question_answering_33882 | 0.6330 | 0.5500 | 0.5886
legal_question_answering_17252 | 0.7436 | 0.7935 | 0.7678
legal_question_answering_52253 | 0.6250 | 0.6609 | 0.6425
legal_question_answering_1979 | 0.7037 | 0.7675 | 0.7342
legal_question_answering_45487 | 0.7172 | 0.7756 | 0.7453
legal_question_answering_44028 | 0.6517 | 0.8521 | 0.7385
legal_question_answering_26636 | 0.7205 | 0.7174 | 0.7189
legal_question_answering_55840 | 0.7338 | 0.7745 | 0.7536
legal_question_answering_39805 | 0.7172 | 0.7529 | 0.7346
legal_question_answering_58370 | 0.6174 | 0.6641 | 0.6399
legal_question_answering_33026 | 0.7621 | 0.8274 | 0.7934
legal_question_answering_67086 | 0.3980 | 0.7563 | 0.5215
legal_question_answering_68043 | 0.5440 | 0.6434 | 0.5895
legal_question_answering_78351 | 0.6988 | 0.9075 | 0.7896
legal_question_answering_14279 | 0.6746 | 0.7110 | 0.6923
legal_question_answering_8216 | 0.7848 | 0.6924 | 0.7357
legal_question_answering_76657 | 0.4259 | 0.5905 | 0.4949
legal_question_answering_23470 | 0.7361 | 0.7224 | 0.7292
legal_question_answering_72251 | 0.3297 | 0.7501 | 0.4580
legal_question_answering_45326 | 0.6806 | 0.7086 | 0.6943
legal_question_answering_27365 | 0.7417 | 0.7731 | 0.7571
legal_question_answering_31187 | 0.7104 | 0.7964 | 0.7509
legal_question_answering_26272 | 0.7274 | 0.7801 | 0.7528
legal_question_answering_64129 | 0.6768 | 0.6875 | 0.6821
legal_question_answering_47620 | 0.7402 | 0.7509 | 0.7455
legal_question_answering_76039 | 0.4843 | 0.5213 | 0.5021
legal_question_answering_22168 | 0.7407 | 0.7585 | 0.7495
legal_question_answering_13534 | 0.7200 | 0.6439 | 0.6798
legal_question_answering_57024 | 0.7000 | 0.6650 | 0.6820
legal_question_answering_4430 | 0.6882 | 0.6596 | 0.6736
legal_question_answering_31341 | 0.7194 | 0.7781 | 0.7476
legal_question_answering_9425 | 0.7139 | 0.7186 | 0.7163
legal_question_answering_13557 | 0.7188 | 0.6356 | 0.6747
legal_question_answering_61803 | 0.6077 | 0.6736 | 0.6389
legal_question_answering_24723 | 0.8263 | 0.8171 | 0.8217
legal_question_answering_42775 | 0.7598 | 0.7548 | 0.7573
legal_question_answering_63949 | 0.6447 | 0.6901 | 0.6666
legal_question_answering_64602 | 0.7305 | 0.7819 | 0.7553
legal_question_answering_8919 | 0.6989 | 0.5997 | 0.6455
legal_question_answering_16428 | 0.7483 | 0.8018 | 0.7741
legal_question_answering_28089 | 0.8252 | 0.7496 | 0.7856
legal_question_answering_27303 | 0.7523 | 0.7401 | 0.7461
legal_question_answering_29405 | 0.6430 | 0.6207 | 0.6317
legal_question_answering_2994 | 0.7056 | 0.7327 | 0.7189
legal_question_answering_19677 | 0.7286 | 0.6486 | 0.6863
legal_question_answering_33829 | 0.7020 | 0.7585 | 0.7292
legal_question_answering_62209 | 0.6128 | 0.6534 | 0.6324
legal_question_answering_68453 | 0.5649 | 0.7963 | 0.6609
legal_question_answering_72993 | 0.3930 | 0.6311 | 0.4843
legal_question_answering_68071 | 0.4611 | 0.7713 | 0.5772
legal_question_answering_26399 | 0.8362 | 0.7620 | 0.7974
legal_question_answering_71140 | 0.2772 | 0.4410 | 0.3404
legal_question_answering_44908 | 0.7447 | 0.7408 | 0.7428
legal_question_answering_25849 | 0.6191 | 0.7405 | 0.6744
legal_question_answering_49266 | 0.8087 | 0.8151 | 0.8119
legal_question_answering_77912 | 0.7214 | 0.7631 | 0.7417
legal_question_answering_17010 | 0.6794 | 0.7602 | 0.7175
legal_question_answering_21779 | 0.7403 | 0.7070 | 0.7232
legal_question_answering_11321 | 0.6287 | 0.5291 | 0.5746
legal_question_answering_71443 | 0.3137 | 0.4836 | 0.3805
legal_question_answering_54944 | 0.5900 | 0.8669 | 0.7021
legal_question_answering_3264 | 0.5806 | 0.6563 | 0.6161
legal_question_answering_25121 | 0.8339 | 0.8763 | 0.8546
legal_question_answering_76788 | 0.3587 | 0.5545 | 0.4356
legal_question_answering_44021 | 0.7475 | 0.8215 | 0.7827
legal_question_answering_30082 | 0.7002 | 0.5539 | 0.6185
legal_question_answering_56189 | 0.6295 | 0.6760 | 0.6519
legal_question_answering_75622 | 0.7248 | 0.8195 | 0.7693
legal_question_answering_32981 | 0.7693 | 0.7522 | 0.7607
legal_question_answering_78175 | 0.7964 | 0.8132 | 0.8047
legal_question_answering_4777 | 0.6853 | 0.7169 | 0.7007
legal_question_answering_19431 | 0.6996 | 0.6922 | 0.6958
legal_question_answering_71382 | 0.3746 | 0.5626 | 0.4497
legal_question_answering_64703 | 0.6723 | 0.7172 | 0.6940
legal_question_answering_50876 | 0.4555 | 0.2987 | 0.3608
legal_question_answering_1045 | 0.6120 | 0.6188 | 0.6154
legal_question_answering_34739 | 0.7502 | 0.6912 | 0.7195
legal_question_answering_14959 | 0.6155 | 0.6115 | 0.6135
legal_question_answering_20112 | 0.7429 | 0.7557 | 0.7492
legal_question_answering_73636 | 0.4270 | 0.7611 | 0.5471
legal_question_answering_31894 | 0.8101 | 0.8090 | 0.8096
legal_question_answering_6403 | 0.6781 | 0.5411 | 0.6019
legal_question_answering_14189 | 0.7287 | 0.7574 | 0.7428
legal_question_answering_4010 | 0.6279 | 0.7154 | 0.6688
legal_question_answering_47360 | 0.7400 | 0.7646 | 0.7521
legal_question_answering_62871 | 0.6971 | 0.7458 | 0.7206
legal_question_answering_31532 | 0.7295 | 0.7218 | 0.7256
legal_question_answering_15065 | 0.7003 | 0.6259 | 0.6610
legal_question_answering_53946 | 0.8471 | 0.8369 | 0.8420
legal_question_answering_42022 | 0.6883 | 0.6571 | 0.6723
legal_question_answering_34836 | 0.7539 | 0.8229 | 0.7869
legal_question_answering_75337 | 0.6191 | 0.6904 | 0.6528
legal_question_answering_42751 | 0.6812 | 0.7716 | 0.7236
legal_question_answering_49459 | 0.4251 | 0.2990 | 0.3511
legal_question_answering_17273 | 0.7631 | 0.7622 | 0.7626
legal_question_answering_78621 | 0.4721 | 0.6205 | 0.5362
legal_question_answering_25183 | 0.7301 | 0.7946 | 0.7610
legal_question_answering_23701 | 0.7290 | 0.7019 | 0.7152
legal_question_answering_8028 | 0.6998 | 0.6998 | 0.6998
legal_question_answering_30398 | 0.7781 | 0.7503 | 0.7639
legal_question_answering_68681 | 0.4084 | 0.7806 | 0.5362
legal_question_answering_57533 | 0.5828 | 0.5950 | 0.5888
legal_question_answering_13341 | 0.7004 | 0.5700 | 0.6285
legal_question_answering_60647 | 0.7142 | 0.6446 | 0.6776
legal_question_answering_62069 | 0.6753 | 0.6940 | 0.6845
legal_question_answering_6668 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_28936 | 0.7005 | 0.6881 | 0.6943
legal_question_answering_4237 | 0.6935 | 0.6867 | 0.6901
legal_question_answering_56264 | 0.5797 | 0.5097 | 0.5424
legal_question_answering_2403 | 0.5889 | 0.6661 | 0.6251
legal_question_answering_9263 | 0.7453 | 0.7357 | 0.7405
legal_question_answering_30707 | 0.7750 | 0.7267 | 0.7501
legal_question_answering_30315 | 0.8033 | 0.7762 | 0.7895
legal_question_answering_50670 | 0.7608 | 0.7919 | 0.7760
legal_question_answering_27711 | 0.7038 | 0.7662 | 0.7337
legal_question_answering_18362 | 0.7006 | 0.6788 | 0.6895
legal_question_answering_50574 | 0.5271 | 0.2725 | 0.3592
legal_question_answering_24235 | 0.7505 | 0.6873 | 0.7175
legal_question_answering_60327 | 0.5890 | 0.6783 | 0.6305
legal_question_answering_49701 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_28516 | 0.7879 | 0.7402 | 0.7633
legal_question_answering_19183 | 0.7151 | 0.7511 | 0.7326
legal_question_answering_51561 | 0.4465 | 0.3053 | 0.3626
legal_question_answering_73128 | 0.3385 | 0.5691 | 0.4245
legal_question_answering_10060 | 0.5737 | 0.4848 | 0.5255
legal_question_answering_1236 | 0.6349 | 0.8450 | 0.7250
legal_question_answering_25123 | 0.7852 | 0.7819 | 0.7836
legal_question_answering_48126 | 0.6168 | 0.4569 | 0.5250
legal_question_answering_14882 | 0.6709 | 0.6608 | 0.6658
legal_question_answering_10536 | 0.6833 | 0.5997 | 0.6388
legal_question_answering_30268 | 0.7098 | 0.6248 | 0.6646
legal_question_answering_70029 | 0.3505 | 0.5942 | 0.4409
legal_question_answering_44003 | 0.7609 | 0.7895 | 0.7750
legal_question_answering_65892 | 0.5848 | 0.5631 | 0.5738
legal_question_answering_2989 | 0.6786 | 0.6667 | 0.6726
legal_question_answering_41909 | 0.8117 | 0.7744 | 0.7926
legal_question_answering_24666 | 0.7083 | 0.7429 | 0.7252
legal_question_answering_60208 | 0.7359 | 0.7559 | 0.7458
legal_question_answering_17012 | 0.7723 | 0.6088 | 0.6809
legal_question_answering_23742 | 0.6547 | 0.6092 | 0.6311
legal_question_answering_62592 | 0.6857 | 0.6914 | 0.6886
legal_question_answering_6452 | 0.7904 | 0.8566 | 0.8222
legal_question_answering_33206 | 0.7373 | 0.6586 | 0.6957
legal_question_answering_32620 | 0.7726 | 0.7677 | 0.7702
legal_question_answering_36882 | 0.7474 | 0.7689 | 0.7580
legal_question_answering_78634 | 0.6483 | 0.8158 | 0.7225
legal_question_answering_55507 | 0.4438 | 0.2740 | 0.3388
legal_question_answering_38815 | 0.7686 | 0.7906 | 0.7794
legal_question_answering_62278 | 0.5505 | 0.6724 | 0.6054
legal_question_answering_57046 | 0.5948 | 0.6380 | 0.6157
legal_question_answering_6454 | 0.7935 | 0.7097 | 0.7493
legal_question_answering_21595 | 0.6436 | 0.6372 | 0.6404
legal_question_answering_32288 | 0.8090 | 0.8098 | 0.8094
legal_question_answering_53735 | 0.5461 | 0.2646 | 0.3565
legal_question_answering_5004 | 0.6365 | 0.6343 | 0.6354
legal_question_answering_58810 | 0.5842 | 0.6415 | 0.6115
legal_question_answering_35783 | 0.7508 | 0.7534 | 0.7521
legal_question_answering_76613 | 0.6968 | 0.7493 | 0.7221
legal_question_answering_54545 | 0.8287 | 0.7823 | 0.8048
legal_question_answering_74907 | 0.7000 | 0.6993 | 0.6997
legal_question_answering_48788 | 0.8116 | 0.7899 | 0.8006
legal_question_answering_21033 | 0.8097 | 0.7770 | 0.7930
legal_question_answering_22083 | 0.8302 | 0.8279 | 0.8290
legal_question_answering_36163 | 0.7730 | 0.7028 | 0.7363
legal_question_answering_16173 | 0.6718 | 0.8073 | 0.7333
legal_question_answering_30963 | 0.7465 | 0.7031 | 0.7242
legal_question_answering_71697 | 0.3671 | 0.7866 | 0.5006
legal_question_answering_8013 | 0.7168 | 0.7155 | 0.7162
legal_question_answering_27819 | 0.7071 | 0.7029 | 0.7050
legal_question_answering_67847 | 0.5567 | 0.7762 | 0.6484
legal_question_answering_38352 | 0.7367 | 0.7928 | 0.7637
legal_question_answering_33132 | 0.7814 | 0.7627 | 0.7719
legal_question_answering_71542 | 0.4700 | 0.5949 | 0.5251
legal_question_answering_73289 | 0.3929 | 0.6472 | 0.4890
legal_question_answering_50378 | 0.7706 | 0.7469 | 0.7586
legal_question_answering_53014 | 0.8351 | 0.8621 | 0.8484
legal_question_answering_27565 | 0.7666 | 0.7388 | 0.7524
legal_question_answering_32680 | 0.7074 | 0.6650 | 0.6855
legal_question_answering_74948 | 0.7089 | 0.6538 | 0.6802
legal_question_answering_58158 | 0.6988 | 0.7040 | 0.7014
legal_question_answering_7765 | 0.8008 | 0.7309 | 0.7643
legal_question_answering_59776 | 0.6404 | 0.6476 | 0.6439
legal_question_answering_21355 | 0.7512 | 0.7270 | 0.7389
legal_question_answering_78001 | 0.4711 | 0.7158 | 0.5683
legal_question_answering_6125 | 0.6724 | 0.6969 | 0.6844
legal_question_answering_5945 | 0.6795 | 0.7244 | 0.7013
legal_question_answering_36041 | 0.5525 | 0.4319 | 0.4848
legal_question_answering_20306 | 0.7597 | 0.7459 | 0.7527
legal_question_answering_15248 | 0.7700 | 0.6594 | 0.7104
legal_question_answering_76114 | 0.8067 | 0.9418 | 0.8690
legal_question_answering_40269 | 0.7525 | 0.7470 | 0.7497
legal_question_answering_79147 | 0.8644 | 0.8414 | 0.8528
legal_question_answering_15144 | 0.6573 | 0.5651 | 0.6077
legal_question_answering_16060 | 0.7315 | 0.7615 | 0.7462
legal_question_answering_74317 | 0.3886 | 0.5832 | 0.4664
legal_question_answering_46721 | 0.7377 | 0.7311 | 0.7344
legal_question_answering_58302 | 0.6150 | 0.6543 | 0.6340
legal_question_answering_58143 | 0.5856 | 0.6975 | 0.6367
legal_question_answering_56371 | 0.7020 | 0.6639 | 0.6824
legal_question_answering_25436 | 0.7821 | 0.7473 | 0.7643
legal_question_answering_79689 | 0.7568 | 0.7717 | 0.7642
legal_question_answering_46812 | 0.7078 | 0.6832 | 0.6953
legal_question_answering_56335 | 0.5911 | 0.6123 | 0.6015
legal_question_answering_50046 | 0.6889 | 0.7615 | 0.7234
legal_question_answering_23902 | 0.7703 | 0.7531 | 0.7616
legal_question_answering_47165 | 0.7467 | 0.7485 | 0.7476
legal_question_answering_31212 | 0.6839 | 0.6845 | 0.6842
legal_question_answering_77881 | 0.7213 | 0.7138 | 0.7175
legal_question_answering_67966 | 0.3654 | 0.7570 | 0.4929
legal_question_answering_56483 | 0.6542 | 0.7306 | 0.6903
legal_question_answering_6614 | 0.5367 | 0.6729 | 0.5971
legal_question_answering_9657 | 0.6134 | 0.6178 | 0.6156
legal_question_answering_3070 | 0.7273 | 0.7196 | 0.7234
legal_question_answering_14983 | 0.7346 | 0.6628 | 0.6968
legal_question_answering_70241 | 0.3273 | 0.6290 | 0.4306
legal_question_answering_77746 | 0.4462 | 0.6700 | 0.5357
legal_question_answering_77510 | 0.9895 | 0.9725 | 0.9809
legal_question_answering_39366 | 0.7640 | 0.7355 | 0.7495
legal_question_answering_27858 | 0.7487 | 0.8183 | 0.7820
legal_question_answering_67278 | 0.4627 | 0.7691 | 0.5778
legal_question_answering_57791 | 0.6837 | 0.6793 | 0.6815
legal_question_answering_19754 | 0.7546 | 0.7761 | 0.7652
legal_question_answering_669 | 0.6967 | 0.5658 | 0.6245
legal_question_answering_69747 | 0.3508 | 0.6942 | 0.4661
legal_question_answering_61302 | 0.5207 | 0.5634 | 0.5412
legal_question_answering_58511 | 0.7083 | 0.6916 | 0.6999
legal_question_answering_76994 | 0.7072 | 0.6888 | 0.6979
legal_question_answering_19191 | 0.7375 | 0.6945 | 0.7154
